id,kanji,strokes,onreading,kunreading
490,継,13,kei,tsu(gu)
491,詣,13,kei,mou(deru)
492,慶,15,kei,-
493,憬,15,kei,-
494,稽,15,kei,-
495,憩,16,kei,"iko(i), iko(u)"
496,警,19,kei,-
497,鶏,19,kei,niwatori
498,芸,7,gei,-
499,迎,7,gei,muka(eru)
500,鯨,19,gei,kujira
501,隙,13,geki,suki
502,劇,15,geki,-
503,撃,15,geki,u(tsu)
504,激,16,geki,hage(shii)
505,桁,10,-,keta
506,欠,4,ketsu,"ka(keru), ka(ku)"
507,穴,5,ketsu,ana
508,血,6,ketsu,chi
509,決,7,ketsu,"ki(meru), ki(maru)"
510,結,12,ketsu,"musu(bu), yu(u), yu(waeru)"
511,傑,13,ketsu,-
512,潔,15,ketsu,isagiyo(i)
513,月,4,"getsu, 	gatsu",tsuki
514,犬,4,ken,inu
515,件,6,ken,-
516,見,7,ken,"mi(ru), mi(eru), mi(seru)"
517,券,8,ken,-
518,肩,8,ken,kata
519,建,9,"ken, [kon]","ta(teru), ta(tsu)"
520,研,9,ken,to(gu)
521,県,9,ken,-
522,倹,10,ken,-
523,兼,10,ken,ka(neru)
524,剣,10,ken,tsurugi
525,拳,10,ken,kobushi
526,軒,10,ken,noki
527,健,11,ken,suko(yaka)
528,険,11,ken,kewa(shii)
529,圏,12,ken,-
530,堅,12,ken,kata(i)
531,検,12,ken,-
532,嫌,13,"ken, [gen]","kira(u), iya"
533,献,13,"ken, [kon]",-
534,絹,13,ken,kinu
535,遣,13,ken,"tsuka(u), tsuka(wasu)"
536,権,15,"ken, [gon]",-
537,憲,16,ken,-
538,賢,16,ken,kashiko(i)
539,謙,17,ken,-
540,鍵,17,ken,kagi
541,繭,18,ken,mayu
542,顕,18,ken,-
543,験,18,"ken, [gen]",-
544,懸,20,"ken, [ke]","ka(keru), ka(karu)"
545,元,4,"gen, 	gan",moto
546,幻,4,gen,maboroshi
547,玄,5,gen,-
548,言,7,"gen, 	gon","i(u), koto"
549,弦,8,gen,tsuru
550,限,9,gen,kagi(ru)
551,原,10,gen,hara
552,現,11,gen,"arawa(reru), arawa(su)"
553,舷,11,gen,-
554,減,12,gen,"he(ru), he(rasu)"
555,源,13,gen,minamoto
556,厳,17,"gen, [gon]","ogoso(ka), kibi(shii)"
557,己,3,"ko, 	ki",onore
558,戸,4,ko,to
559,古,5,ko,"furu(i), furu(su)"
560,呼,8,ko,yo(bu)
561,固,8,ko,"kata(meru), kata(maru), kata(i)"
562,股,8,ko,mata
563,虎,8,ko,tora
564,孤,9,ko,-
565,弧,9,ko,-
566,故,9,ko,yue
567,枯,9,ko,"ka(reru), ka(rasu)"
568,個,10,ko,-
569,庫,10,"ko, [ku]",-
570,湖,12,ko,mizuumi
571,雇,12,ko,yato(u)
572,誇,13,ko,hoko(ru)
573,鼓,13,ko,tsuzumi
574,錮,16,ko,-
575,顧,21,ko,kaeri(miru)
576,五,4,go,"itsu, itsu(tsu)"
577,互,4,go,taga(i)
578,午,4,go,-
579,呉,7,go,-
580,後,9,"go, 	koo","nochi, ushi(ro), ato, oku(reru)"
581,娯,10,go,-
582,悟,10,go,sato(ru)
583,碁,13,go,-
584,語,14,go,"kata(ru), kata(rau)"
585,誤,14,go,ayama(ru)
586,護,20,go,-
587,口,3,"koo, 	ku",kuchi
588,工,3,"koo, 	ku",-
589,公,4,koo,ooyake
590,勾,4,koo,-
591,孔,4,koo,-
592,功,5,"koo, [ku]",-
593,巧,5,koo,taku(mi)
594,広,5,koo,"hiro(i), hiro(maru), hiro(meru), hiro(garu), hiro(geru)"
595,甲,5,"koo, 	kan",-
596,交,6,koo,"maji(waru), maji(eru), maji(ru), ma(zaru), ma(zeru), ka(u), ka(wasu)"
597,光,6,koo,"hika(ru), hikari"
598,向,6,koo,"mu(ku), mu(keru), mu(kau), mu(koo)"
599,后,6,koo,-
600,好,6,koo,"kono(mu), su(ku)"
601,江,6,koo,e
602,考,6,koo,kanga(eru)
603,行,6,"koo, 	gyoo, [an]","i(ku), yu(ku), okona(u)"
604,坑,7,koo,-
605,孝,7,koo,-
606,抗,7,koo,-
607,攻,7,koo,se(meru)
608,更,7,koo,"sara, fu(keru), fu(kasu)"
609,効,8,koo,ki(ku)
610,幸,8,koo,"saiwa(i), sachi, shiawa(se)"
611,拘,8,koo,-
612,肯,8,koo,-
613,侯,9,koo,-
614,厚,9,koo,atsu(i)
615,恒,9,koo,-
616,洪,9,koo,-
617,皇,9,"koo, 	oo",-
618,紅,9,"koo, [ku]","beni, kurenai"
619,荒,9,koo,"ara(i), a(reru), a(rasu)"
620,郊,9,koo,-
621,香,9,"koo, [kyoo]","ka, kao(ri), kao(ru)"
622,候,10,koo,sooroo
623,校,10,koo,-
624,耕,10,koo,tagaya(su)
625,航,10,koo,-
626,貢,10,"koo, [ku]",mitsu(gu)
627,降,10,koo,"o(riru), o(rosu), fu(ru)"
628,高,10,koo,"taka(i), taka, taka(maru), taka(meru)"
629,康,11,koo,-
630,控,11,koo,hika(eru)
631,梗,11,koo,-
632,黄,11,"koo, 	oo","ki, [ko]"
633,喉,12,koo,nodo
634,慌,12,koo,"awa(teru), awa(tadashii)"
635,港,12,koo,minato
636,硬,12,koo,kata(i)
637,絞,12,koo,"shibo(ru), shi(meru), shi(maru)"
638,項,12,koo,-
639,溝,13,koo,mizo
640,鉱,13,koo,-
641,構,14,koo,"kama(eru), kama(u)"
642,綱,14,koo,tsuna
643,酵,14,koo,-
644,稿,15,koo,-
645,興,16,"koo, 	kyoo","oko(ru), oko(su)"
646,衡,16,koo,-
647,鋼,16,koo,hagane
648,講,17,koo,-
649,購,17,koo,-
650,乞,3,-,ko(u)
651,号,5,goo,-
652,合,6,"goo, gaQ, [kaQ]","a(u), a(wasu), a(waseru)"
653,拷,9,goo,-
654,剛,10,goo,-
655,傲,13,goo,-
656,豪,14,goo,-
657,克,7,koku,-
658,告,7,koku,tsu(geru)
659,谷,7,koku,tani
660,刻,8,koku,kiza(mu)
661,国,8,koku,kuni
662,黒,11,koku,"kuro, kuro(i)"
663,穀,14,koku,-
664,酷,14,koku,-
665,獄,14,goku,-
666,骨,10,kotsu,hone
667,駒,15,-,koma
668,込,5,-,"ko(mu), ko(meru)"
669,頃,11,-,koro
670,今,4,"kon, 	kin",ima
671,困,7,kon,koma(ru)
672,昆,8,kon,-
673,恨,9,kon,"ura(mu), ura(meshii)"
674,根,10,kon,ne
675,婚,11,kon,-
676,混,11,kon,"ma(jiru), ma(zaru), ma(zeru), ko(mu)"
677,痕,11,kon,ato
678,紺,11,kon,-
679,魂,14,kon,tamashii
680,墾,16,kon,-
681,懇,17,kon,nengo(ro)
682,左,5,sa,hidari
683,佐,7,sa,-
684,沙,7,sa,-
685,査,9,sa,-
686,砂,9,"sa, 	sha",suna
687,唆,10,sa,sosonoka(su)
688,差,10,sa,sa(su)
689,詐,12,sa,-
690,鎖,18,sa,kusari
691,座,10,za,suwa(ru)
692,挫,10,za,-
693,才,3,sai,-
694,再,6,"sai, [sa]",futata(bi)
695,災,7,sai,wazawa(i)
696,妻,8,sai,tsuma
697,采,8,sai,-
698,砕,9,sai,"kuda(ku), kuda(keru)"
699,宰,10,sai,-
700,栽,10,sai,-
701,彩,11,sai,irodo(ru)
702,採,11,sai,to(ru)
703,済,11,sai,"su(mu), su(masu)"
704,祭,11,sai,"matsu(ru), matsu(ri)"
705,斎,11,sai,-
706,細,11,sai,"hoso(i), hoso(ru), koma(ka), koma(kai)"
707,菜,11,sai,na
708,最,12,sai,motto(mo)
709,裁,12,sai,"ta(tsu), saba(ku)"
710,債,13,sai,-
711,催,13,sai,moyoo(su)
712,塞,13,"sai, soku","fusa(gu), fusa(garu)"
713,歳,13,"sai, [sei]",-
714,載,13,sai,"no(seru), no(ru)"
715,際,14,sai,kiwa
716,埼,11,-,[sai]
717,在,6,zai,a(ru)
718,材,7,zai,-
719,剤,10,zai,-
720,財,10,"zai, [sai]",-
721,罪,13,zai,tsumi
722,崎,11,-,saki
723,作,7,"saku, 	sa",tsuku(ru)
724,削,9,saku,kezu(ru)
725,昨,9,saku,-
726,柵,9,saku,-
